1,Adaboost,17.168256034606795,16.6727663342825,448.3436971069393,16.6727663342825
2,Bagging,15.31956510292054,15.49672057502246,397.4918907550198,15.49672057502246
3,ExtraTrees,15.674003775603945,15.915588499550767,418.2880905563464,15.915588499550767
4,GradientBoost,15.756462862348096,15.793606218565817,400.9615541120951,15.793606218565817
5,RandomForest,15.360767033122343,15.754132973944293,399.5675170126291,15.754132973944293
8,ElasticNet,19.78966463383161,17.26282374623694,613.8433687987321,17.26282374623694
9,ElasticNetCV,19.508340239505802,17.7544632448809,600.8796834848379,17.7544632448809
10,HuberRegressor,18.302914812952718,17.047428770326476,531.6297086737768,17.047428770326476
12,LassoCV,19.509005990934195,17.7544632448809,600.9277213991023,17.7544632448809
15,LogisticRegression,18.339929697043118,18.322551662174305,568.3001316009975,18.322551662174305
18,PassiveAggressiveRegressor,115.13283093437397,22.40001409142599,33562.41611832606,22.40001409142599
19,RidgeCV,16.6674408675608,15.77300467346245,443.40868861229717,15.77300467346245
20,SGDRegressor,3.056936564404636e+16,1.4747179572556822e+16,2.534874836457015e+33,1.4747179572556822e+16
